entity_id,variant_name,source
8,RCA CORP,patent_assignee
8,RCA CORP [US],patent_assignee
8,RCA CORPORATION,trademark_owner
8,RADIOLA,trademark_search
8,RADIOTRON,trademark_search
8,SUPERHETERODYNE,trademark_search
9,WESTINGHOUSE ELECTRIC & MFG CO,patent_assignee
9,WESTINGHOUSE ELECTRIC & MFG CO [US],patent_assignee
9,WESTINGHOUSE ELECTRIC CORPORATION,trademark_owner
9,RADIOPHONE,trademark_search
9,AERIOLA,trademark_search
10,ARTHUR ATWATER KENT,patent_assignee
10,ATWATER KENT MFG CO,patent_assignee
10,ATWATERKENT,trademark_search
10,ATWATER KENT,trademark_search
11,Zenith Radio Corporation,trademark_owner
11,ZENITH RADIO CORPORATION,trademark_owner
11,ZENITH,trademark_search
11,ZEPHYR,trademark_search
12,FOREST RADIO TELEPHONE & TELEG,patent_assignee
12,FOREST RADIO COMPANY DE,patent_assignee
12,FOREST RADIO TELEPHONE AND TEL,patent_assignee
12,DEFOREST RADIO COMPANY,patent_assignee
12,AUDION,trademark_search
12,OSCILLION,trademark_search
12,DE FOREST,trademark_search
