entity_id,variant_name,source
13,"MACK TRUCKS, INC.",trademark_owner
13,INTERNATIONAL MOTOR COMPANY,trademark_owner
13,MACK MANUFACTURING CORPORATION,trademark_owner
14,"PRATT & WHITNEY AIRCRAFT COMPANY, THE",trademark_owner
14,PRATT & WHITNEY COMPANY,trademark_owner
15,"EAGLE ELECTRIC MANUFACTURING COMPANY, INC.",trademark_owner
15,EAGLE ELECTRIC MFG. CO.,trademark_owner
16,"PATHE CINEMA, ANCIENS ETABLISSEMENTS PATHE FRERES",trademark_owner
17,ALBERT SETZER,trademark_owner
18,SHELL OIL COMPANY,trademark_owner
18,"ASIATIC PETROLEUM COMPANY, LIMITED, THE",trademark_owner
19,DEERE & COMPANY,trademark_owner
20,ALFA ROMEO S.P.A.,trademark_owner
20,"SOCIETA ANONIMA ITALIANA ING. NICOLA ROMEO & C.",trademark_owner
21,WORTHINGTON PUMP AND MACHINERY CORPORATION,trademark_owner
22,"RALEIGH CYCLE COMPANY LIMITED, THE",trademark_owner
22,RALEIGH CYCLE COMPANY LTD,trademark_owner
23,"GOODYEAR TIRE & RUBBER COMPANY, THE",trademark_owner
23,GOODYEAR TIRE & RUBBER,patent_assignee
24,Colt's Patent Fire Arms Manufacturing Company,trademark_owner
24,COLT S MFG CO,patent_assignee
